Employee_ID,Name,Age,Gender,City,Department,Salary,Experience_Years,Joining_Date,Education,Employment_Type,Employment_Status,Product,Quantity,Sales_Amount,Discount_Percent,Remote_Work,Performance_Rating
EMP0155,Hamza Sheikh,55.0,Male,Mumbai,Sales,40396.0,1.0,2023-11-17 00:00:00,12th,Part-time,Inactive,Laptop,3,699.0,13.0,No,Average
EMP0156,Bilal Hussain,24.0,Female,Delhi,Sales,151669.0,5 years,2025-05-24 00:00:00,High School,Intern,Active,Laptop,9,47429.0,17.0,No,Excellent
EMP0157,Sameer Khan,53.0,Male,Mumbai,Finance,137872.0,8.0,2020-01-05 00:00:00,Post Graduate,Contract,On Leave,Tablet,three,5278.0,23.0,No,Poor
EMP0158,Faizan Ali,57.0,Male,,Marketing,88755.0,2.0,2025-10-26 00:00:00,Graduate,Intern,Resigned,Monitor,9,31295.0,3.0,Yes,Good
EMP0159,Adnan Qureshi,26.0,Female,Amritsar,Marketing,156034.0,17.0,2022-11-13 00:00:00,Graduate,Part-time,Inactive,Software License,10,31262.0,17.0,Yes,Excellent
EMP0160,Salman Ahmed,38.0,Male,Bangalore,operations,167352.0,1.0,2024-04-27 00:00:00,Post Graduate,Part-time,Resigned,Laptop,5,10746.0,36.0,Yes,Poor
EMP0161,Maria Garcia,55.0,Male,Mumbai,Operations,111960.0,2.0,2022-04-22 00:00:00,Graduate,Intern,Inactive,Software License,2,22421.0,38.0,No,Average
EMP0162,Juan Rodriguez,22.0,Female,Hyderabad,Operations,96651.0,18.0,2023-01-20 00:00:00,12th,Intern,Inactive,Keyboard,10,43397.0,24.0,Yes,Average
EMP0163,Carlos Hernandez,36.0,Female,Bangalore,Customer Support,44269.0,5.0,2018-12-03 00:00:00,12th,Contract,On Leave,Laptop,2,440.0,19.0,No,Average
EMP0164,Luis Martinez,38.0,Male,Bangalore,Customer Support,51799.0,15.0,2019-06-27 00:00:00,High School,Intern,Active,Laptop,2,23294.0,35.0,Yes,Average
EMP0165,Jose Gonzalez,45.0,Female,Kolkata,Marketing,28235.0,18.0,2021-04-10 00:00:00,Post Graduate,Part-time,Resigned,Phone,3,17723.0,-10,No,Poor
EMP0166,Ana Lopez,30.0,Female,Chennai,Customer Support,41585.0,10.0,2019-11-16 00:00:00,12th,Full-time,On Leave,Tablet,4,47344.0,40.0,No,Good
EMP0167,Sofia Rodriguez,50.0,Female,Delhi,Customer Support,53042.0,11.0,2019-07-09 00:00:00,High School,Intern,On Leave,Monitor,6,28320.0,38.0,n/a,Average
EMP0168,Elena Martinez,41.0,Female,Bangalore,Customer Support,77652.0,11.0,2023-05-17 00:00:00,Diploma,Intern,Inactive,Tablet,7,18469.0,25.0,No,Excellent
EMP0169,Isabella Gonzalez,57.0,Male,Ahmedabad,Sales,77376.0,15.0,2024-08-22 00:00:00,Post Graduate,Intern,On Leave,Software License,2,26913.0,31.0,Yes,Average
EMP0170,Lucia Perez,36.0,Male,Kolkata,Customer Support,91238.0,3.0,2025-05-21 00:00:00,12th,Intern,Resigned,Headphones,9,45431.0,26.0,Yes,Average
EMP0171,Miguel Sanchez,55.0,Male,Pune,Finance,47277.0,20.0,2019-03-24 00:00:00,Graduate,Intern,On Leave,Software License,7,7043.0,0.0,Yes,Average
EMP0172,Diego Ramirez,,Male,Jaipur,Operations,158870.0,13.0,2026-05-18 00:00:00,12th,Part-time,On Leave,Laptop,8,6951.0,18.0,No,Excellent
EMP0173,Carlos Torres,28.0,Female,Pune,Data Analytics,62139.0,7.0,2021-11-27 00:00:00,High School,Intern,On Leave,Monitor,2,28815.0,28.0,No,Excellent
EMP0174,Javier Flores,40.0,Male,Delhi,Operations,36713.0,4.0,2025-12-21 00:00:00,Post Graduate,Part-time,INACTIVE,Headphones,3,21791.0,35.0,No,Poor
EMP0175,Mateo Rivera,35.0,Male,Bangalore,Customer Support,131180.0,13.0,2025-01-23 00:00:00,Graduate,Part-time,Resigned,Headphones,7,25582.0,0.0,Yes,Good
EMP0176,Laura Gomez,38.0,Male,Ahmedabad,Finance,41400.0,12.0,2024-06-22 00:00:00,Diploma,Part-time,Resigned,Laptop,5,44055.0,31.0,No,Poor
EMP0177,Gabriela Diaz,46.0,Female,Pune,Data Analytics,178879.0,20.0,2019-04-13 00:00:00,Post Graduate,Contract,Active,Keyboard,3,20624.0,7.0,Yes,Average
EMP0178,  Valentina Cruz ,28.0,Male,Ahmedabad,Customer Support,72984.0,14.0,2022-03-10 00:00:00,High School,Part-time,Resigned,Monitor,3,31994.0,40.0,Yes,Good
EMP0179,Camila Morales,52.0,Male,Pune,Data Analytics,100716.0,20.0,2019-07-29 00:00:00,Graduate,Contract,Active,Monitor,3,12887.0,24.0,No,Poor
EMP0180,Daniela Reyes,52.0,Female,Jaipur,Finance,133955.0,3.0,2025-12-18 00:00:00,High School,Full-time,Inactive,Tablet,1,18112.0,14.0,No,Good
EMP0181,Samantha Wilson,50.0,Female,Ahmedabad,Marketing,173281.0,19.0,15 Aug 2022,Graduate,Contract,On Leave,Headphones,1,49907.0,28.0,Yes,Poor
EMP0182,Jennifer Brown,27.0,Male,Jaipur,IT,89888.0,12.0,2021-05-04 00:00:00,Graduate,Intern,Active,Software License,4,"₹45,000",37.0,No,Poor
EMP0183,Jessica Davis,31.0,Male,Delhi,Operations,61499.0,18.0,2020-04-26 00:00:00,Diploma,Part-time,On Leave,Keyboard,5,19061.0,36.0,No,Excellent
EMP0184,Ashley Miller,29.0,Female,Bangalore,Finance,132897.0,8.0,2018-08-31 00:00:00,Post Graduate,Contract,Inactive,Software License,7,32177.0,9.0,No,Poor
EMP0185,Amanda Moore,45.0,Male,Kolkata,IT,143486.0,12.0,2018-11-06 00:00:00,12th,Intern,On Leave,Headphones,1,48119.0,5.0,No,Average
EMP0186,Megan Taylor,25.0,Male,Kolkata,HR,165096.0,16.0,2022-06-18 00:00:00,Diploma,Contract,On Leave,Tablet,9,37975.0,8.0,No,Average
EMP0187,Lauren Anderson,24.0,Female,Delhi,Marketing,37043.0,6.0,2019-02-12 00:00:00,12th,Intern,Active,Monitor,4,45227.0,8.0,No,Good
EMP0188,Rachel Thomas,38.0,Female,Chennai,Marketing,49468.0,12.0,2025-05-05 00:00:00,Post Graduate,Full-time,Resigned,Keyboard,5,47678.0,14.0,No,Excellent
EMP0189,Rebecca Jackson,27.0,Female,Mumbai,,25284.0,19.0,2020-05-24 00:00:00,Post Graduate,Intern,Active,Laptop,6,8003.0,27.0,Yes,Poor
EMP0190,Nicole White,25.0,Male,Mumbai,Marketing,85017.0,11.0,2022-04-19 00:00:00,Diploma,Contract,Inactive,Monitor,3,42146.0,9.0,Yes,Excellent
EMP0191,Melissa Harris,31.0,Male,Bangalore,Customer Support,140369.0,20.0,2021-12-09 00:00:00,12th,Part-time,Active,Laptop,3,49412.0,7.0,No,Average
EMP0192,Stephanie Martin,48.0,Male,Chennai,Marketing,107445.0,8.0,2019-07-27 00:00:00,High School,Contract,Active,Software License,5,13564.0,33.0,Yes,Poor
EMP0193,Kimberly Thompson,39.0,Female,Kolkata,Marketing,39304.0,8.0,2020-09-07 00:00:00,12th,Full-time,Active,Tablet,6,8749.0,24.0,No,Average
EMP0194,Michelle Garcia,55.0,Male,Delhi,Marketing,70290.0,1.0,2023-04-14 00:00:00,Diploma,Part-time,Active,Laptop,7,33301.0,10%,No,Poor
EMP0195,Christina Martinez,46.0,Male,Chennai,Marketing,46607.0,10.0,2025-03-08 00:00:00,Graduate,Part-time,Inactive,Headphones,6,25706.0,37.0,Yes,Average
EMP0196,Brittany Robinson,48.0,Male,Mumbai,Customer Support,87557.0,4.0,2018-08-26 00:00:00,12th,Full-time,On Leave,Keyboard,3,7927.0,0.0,Yes,Excellent
EMP0197,Kayla Clark,31.0,Female,Bangalore,Operations,155131.0,5.0,2021-11-21 00:00:00,Diploma,Full-time,Active,Tablet,7,17924.0,33.0,Yes,Average
EMP0198,Mackenzie Lewis,57.0,Female,Ahmedabad,Operations,45203.0,2.0,2023-07-26 00:00:00,12th,Part-time,On Leave,Phone,5,6843.0,36.0,Yes,Good
EMP0199,Madison Walker,53.0,Male,Hyderabad,Sales,25673.0,16.0,2018-06-30 00:00:00,Diploma,Intern,Inactive,Phone,1,36332.0,26.0,Yes,Average
EMP0200,Taylor Hall,36.0,Female,Chennai,Marketing,134119.0,19.0,2026-01-29 00:00:00,Diploma,Full-time,Active,Phone,4,33901.0,2.0,No,Excellent
